0,X16.bam,X17.bam,X18.bam,X19.bam
GPP2,117.311645357036,161.435646730212,32224.5223579818,34416.2339251708
STL1,99.1081141809444,72.4046920550783,19434.5407630567,20747.496694145
HXT1,89.66924616371159,54.1694362782438,17320.362845923897,16516.5337394473
AQR1,21.5745554679607,16.626262620055,5086.74386077061,3313.4253864920897
OAC1,23.597170043082,20.9169110381337,4469.97616765217,2394.1727947944896
RPS28B,26.2939894765771,34.8615183968896,2908.9816453781896,2581.11035541956
NSR1,100.456523897692,190.93385460450298,17469.785946834,14323.876204959599
ALB1,23.597170043082,32.1798631355904,2600.59779881897,2508.22185701071
DBP2,36.4070623521836,91.7126099364325,11613.672077121899,9574.11864394001
FSF1,13.484097167475399,22.525904194913203,2381.2319698232395,1792.1995491119199
PRM10,31.6876283435672,27.3528836652518,1882.0952284851198,1879.66574720255
YJL107C,20.900350609586898,25.207559456212397,1821.69014513847,1513.50823166629
PDE2,74.1625344211148,75.0863473163775,4075.75351844245,3467.7775007696696
TRM11,3.37102429186886,6.97230367937791,1367.0624125821,999.00118407435
PFK27,43.1491109359214,43.9791462853068,2397.12804438815,2157.4995529022
LCP5,20.226145751213103,25.207559456212397,1440.18435558068,1437.1896862734802
SAM1,20.900350609586898,48.26979470338549,4692.521211560879,2960.9880588916103
RSA4,21.5745554679607,24.671228403952604,1421.10906610279,1336.86081199306
AAH1,39.1038817856787,89.56728572739321,6364.78825578922,5109.91249433395
RRN11,14.1583020258492,10.1902899929369,1125.4420791955001,938.9753618552901
ADE4,53.9363886699017,56.851091539543,3846.8500447077704,2428.4732646339603
SNU13,84.2756072967214,108.338872556488,3811.87868066497,4149.4993388289895
VTS1,9.438868017232801,13.408276306496,1023.7072019800801,865.2293517004449
SSF1,43.1491109359214,63.287064166661,2622.8523032098396,2492.7866455829503
YGR079W,80.2303781464788,67.0413815324799,2854.9349918575,3055.3143509501397
SQT1,64.72366640388199,84.2039752047948,3141.0643340258503,2867.51927857908
NOP12,51.9137740947804,92.2489409886924,3799.16182101305,3662.4326671086205
RPA34,68.0946906957509,64.8960573234406,2575.1640795151197,2403.60542400035
TMA10,30049.984742577402,26131.1215282039,880.6425308959109,845.506581542754
GRE2,448.34623081855796,205.951124067778,18814.5938550253,22462.5201861181
YBL028C,35.7328574938099,43.9791462853068,1665.90861440237,1686.7256043555801
REX4,10.7872777339803,9.11762788841727,788.4452984194439,723.739913612662
SYO1,34.3844477770623,54.7057673305036,2136.4324215236497,2089.7561249692603
YML018C,35.058652635436104,20.3805799858739,1716.77605301008,1436.3321745275
UTP9,65.39787126225579,64.8960573234406,2403.4864742141103,2250.11082146875
FRE4,64.72366640388199,26.816552612992,4870.557246687849,2999.57608746101
PUS1,60.6784372536394,83.1313131002751,2775.45461903296,2622.27091922692
URA7,31.0134234851935,79.3769957344562,4317.37385182905,3749.89886519925
YLR264C-A,12.809892309101699,6.43597262711807,797.9829431583889,783.7657358317219
RPA12,35.058652635436104,42.9064841807871,1503.76865384031,1537.51856055391
KRS1,197.54202350351503,311.608341362967,10036.781480283,8869.24398873906
IPI3,21.5745554679607,31.1072010310707,1338.44947836527,1079.60728819709
UTP6,39.1038817856787,50.951449964684706,1541.91923279609,1727.02865641694
UTP15,53.9363886699017,38.6158357627084,1729.49291266201,1635.27489959638
UCC1,41.1264963608,40.7611599717478,1475.1557196234803,1329.14320627918
UTP18,43.8233157942951,34.3251873446297,1506.94786875329,1326.5706710412198
PCK1,38792.39914111,44489.73344705821,1497.41022401435,1689.29813959354
VID24,159.786551434584,149.100032528235,5477.78729506735,3873.38055662132
RPA49,47.194340086164,83.6676441525349,2746.84168481613,2383.0251420966697
TPA1,52.587978953154106,90.6399478319128,2810.42598307576,2527.08711542241
